,prop,lambda,theta,sample,sample_avg,acc_mhs
275,normal_dep,4000.0,10.0,0,0.07181962452899797,0.04660959947880176
276,normal_dep,4000.0,10.0,1,0.07181962452899797,0.08460450139099795
277,normal_dep,4000.0,10.0,2,0.07181962452899797,0.0721474243147543
278,normal_dep,4000.0,10.0,3,0.07181962452899797,0.037157210710988375
279,normal_dep,4000.0,10.0,4,0.07181962452899797,0.11857938674944751
280,normal_dep,5000.0,1e-06,0,0.3386971017277823,0.3449423233085668
281,normal_dep,5000.0,1e-06,1,0.3386971017277823,0.29555345690863644
282,normal_dep,5000.0,1e-06,2,0.3386971017277823,0.3853179533514246
283,normal_dep,5000.0,1e-06,3,0.3386971017277823,0.3722945064985616
284,normal_dep,5000.0,1e-06,4,0.3386971017277823,0.2953772685717217
285,normal_dep,5000.0,1e-05,0,0.2578149221800256,0.30881212231567795
286,normal_dep,5000.0,1e-05,1,0.2578149221800256,0.21853718090368973
287,normal_dep,5000.0,1e-05,2,0.2578149221800256,0.26585093270311094
288,normal_dep,5000.0,1e-05,3,0.2578149221800256,0.2547092003328965
289,normal_dep,5000.0,1e-05,4,0.2578149221800256,0.24116517464475307
290,normal_dep,5000.0,0.0001,0,0.1790414122427998,0.13539574510607047
291,normal_dep,5000.0,0.0001,1,0.1790414122427998,0.21054192440746863
292,normal_dep,5000.0,0.0001,2,0.1790414122427998,0.19759645979139012
293,normal_dep,5000.0,0.0001,3,0.1790414122427998,0.1681506363346402
294,normal_dep,5000.0,0.0001,4,0.1790414122427998,0.18352229557442953
295,normal_dep,5000.0,0.001,0,0.11005423634673803,0.09472806168688996
296,normal_dep,5000.0,0.001,1,0.11005423634673803,0.11465061720637115
297,normal_dep,5000.0,0.001,2,0.11005423634673803,0.07265328269371049
298,normal_dep,5000.0,0.001,3,0.11005423634673803,0.14244756705887984
299,normal_dep,5000.0,0.001,4,0.11005423634673803,0.12579165308783866
300,normal_dep,5000.0,0.01,0,0.07793161087530283,0.04966987763816476
301,normal_dep,5000.0,0.01,1,0.07793161087530283,0.07926873531080543
302,normal_dep,5000.0,0.01,2,0.07793161087530283,0.08060867753784598
303,normal_dep,5000.0,0.01,3,0.07793161087530283,0.0794728065892547
304,normal_dep,5000.0,0.01,4,0.07793161087530283,0.10063795730044331
305,normal_dep,5000.0,0.1,0,0.10355928618245387,0.14808000379134045
306,normal_dep,5000.0,0.1,1,0.10355928618245387,0.07611102698946448
307,normal_dep,5000.0,0.1,2,0.10355928618245387,0.09899910846681435
308,normal_dep,5000.0,0.1,3,0.10355928618245387,0.10110614449994897
309,normal_dep,5000.0,0.1,4,0.10355928618245387,0.09350014716470105
310,normal_dep,5000.0,1.0,0,0.09116755571674659,0.13347126938777956
311,normal_dep,5000.0,1.0,1,0.09116755571674659,0.052614321029332944
312,normal_dep,5000.0,1.0,2,0.09116755571674659,0.047192067033271785
313,normal_dep,5000.0,1.0,3,0.09116755571674659,0.1559372877985435
314,normal_dep,5000.0,1.0,4,0.09116755571674659,0.06662283333480526
315,normal_dep,5000.0,10.0,0,0.07333037945137524,0.11550759864685937
316,normal_dep,5000.0,10.0,1,0.07333037945137524,0.04273956517288721
317,normal_dep,5000.0,10.0,2,0.07333037945137524,0.06715776837030436
318,normal_dep,5000.0,10.0,3,0.07333037945137524,0.08271904237169518
319,normal_dep,5000.0,10.0,4,0.07333037945137524,0.05852792269513015
320,normal_dep,6000.0,1e-06,0,0.2570605852615862,0.27558818894554993
321,normal_dep,6000.0,1e-06,1,0.2570605852615862,0.20556923562420598
322,normal_dep,6000.0,1e-06,2,0.2570605852615862,0.3125088927487002
323,normal_dep,6000.0,1e-06,3,0.2570605852615862,0.2178198698900227
