,theta,d,samples,acc_prob,acc_pl
276,0.1,4,6,0.0015754941009925615,0.0013267774389500696
277,0.1,4,7,0.002025750396113663,0.0019075064706639007
278,0.1,4,8,0.002591484810981555,0.0026556071096698153
279,0.1,4,9,0.0026824117533733277,0.0026939780996300296
280,0.1,5,0,0.0038543656409292673,0.0023588449675403774
281,0.1,5,1,0.0029222902233347688,0.0026567029969067693
282,0.1,5,2,0.0020449807418985518,0.0017609032116375392
283,0.1,5,3,0.0016166711096890676,0.0027929433959589457
284,0.1,5,4,0.0019594281645569102,0.003542272185988383
285,0.1,5,5,0.0009402770363113114,0.0009148591659487704
286,0.1,5,6,0.0012537361598884238,0.0026431366251169304
287,0.1,5,7,0.0040886055596262745,0.0019008036830070795
288,0.1,5,8,0.002706400458845055,0.0012963884391775811
289,0.1,5,9,0.003814972992145044,0.0015910783712005988
290,0.1,6,0,0.0025774466196024624,0.007029849123893526
291,0.1,6,1,0.002442957220795282,0.002403629408075202
292,0.1,6,2,0.0022197255833304582,0.0015208380034714372
293,0.1,6,3,0.001338356839593174,0.003251481686647018
294,0.1,6,4,0.0019143410672422087,0.0011460483939801603
295,0.1,6,5,0.0014994974176105048,0.0037042831711721225
296,0.1,6,6,0.002046732866673466,0.00140297443734104
297,0.1,6,7,0.001983288146485884,0.003509281132819902
298,0.1,6,8,0.0026185077320813608,0.003518838079356781
299,0.1,6,9,0.00305859017209975,0.0020747428181909218
300,0.1,7,0,0.0024200125644996536,0.0012692918916261773
301,0.1,7,1,0.0022201104755577234,0.0019387789460487204
302,0.1,7,2,0.0017579295181490914,0.00442888599319267
303,0.1,7,3,0.002294777665470807,0.003966193675860537
304,0.1,7,4,0.002376953419260543,0.0018332612877222185
305,0.1,7,5,0.0013600639931553255,0.0015349736108512392
306,0.1,7,6,0.0026223033713799787,0.00139468163393803
307,0.1,7,7,0.0030032487270816297,0.0037090734093963187
308,0.1,7,8,0.0020603156798604267,0.0017742011891317031
309,0.1,7,9,0.00339373506043375,0.0011491753897030757
310,0.1,8,0,0.003640134855987348,0.0021805724282235907
311,0.1,8,1,0.0019913565505861193,0.00579118213903678
312,0.1,8,2,0.0017898420951330434,0.002481001218029262
313,0.1,8,3,0.0017100016665163502,0.0056858290749189615
314,0.1,8,4,0.002663147638037803,0.0024884818302488764
315,0.1,8,5,0.002117073472113846,0.0050659870855426095
316,0.1,8,6,0.0024648177380239855,0.0020253193053133747
317,0.1,8,7,0.002096723854944895,0.002897563419806087
318,0.1,8,8,0.0013581514533012031,0.0008951704633784127
319,0.1,8,9,0.0034254893443617157,0.004397631430924906
320,1.0,1,0,0.0008827267116716342,0.0019123011928517887
321,1.0,1,1,0.0008240709117283124,0.0021536947443752293
322,1.0,1,2,0.0009593273068882449,0.002097370682662857
323,1.0,1,3,0.0007721311062151551,0.002659248565362262
324,1.0,1,4,0.0015385699562915933,0.0018542282721308123
325,1.0,1,5,0.0014664200070427008,0.0019806633178144567
326,1.0,1,6,0.0010417653867478085,0.001998770440681389
327,1.0,1,7,0.0008132775380282041,0.0017474063841812766
328,1.0,1,8,0.0019377852126716373,0.0020734945901767637
329,1.0,1,9,0.00112898137755925,0.0016224313023691281
330,1.0,2,0,0.0015930884156382403,0.00248819287498041
331,1.0,2,1,0.0003416115917001201,0.0025160457251292324
332,1.0,2,2,0.0010347024160360443,0.0024693590989427363
333,1.0,2,3,0.0022904116516950113,0.0035035311361985414
334,1.0,2,4,0.0014014540371648575,0.0029426331603180774
335,1.0,2,5,0.002450530897604141,0.0022502294621911468
336,1.0,2,6,0.001789204514719292,0.001767824196838948
337,1.0,2,7,0.0013575679069765007,0.001614253985992069
338,1.0,2,8,0.002621950141713446,0.003916742844414673
339,1.0,2,9,0.0015508739755713972,0.002356975177568452
340,1.0,3,0,0.003790859533610491,0.0024849950333412705
341,1.0,3,1,0.0019748738535387356,0.0028748425703968086
342,1.0,3,2,0.0017311162383084786,0.0019599542391459906
343,1.0,3,3,0.0024030494214900356,0.002148907268683426
344,1.0,3,4,0.0020533077400914515,0.0038381773992646273
345,1.0,3,5,0.0021092571621815913,0.0019903946085498905
346,1.0,3,6,0.002456116756779829,0.0028624071343743905
347,1.0,3,7,0.002548544159533993,0.0019822405268863992
348,1.0,3,8,0.002136775621387052,0.002899593209941387
349,1.0,3,9,0.0027715811724343753,0.002453329800675743
350,1.0,4,0,0.0011668395224534922,0.0022652418218356497
351,1.0,4,1,0.0013240102712848045,0.0015177216858447383
352,1.0,4,2,0.0018135980681911175,0.002001525558317662
353,1.0,4,3,0.0018401046130050872,0.003740380137795146
354,1.0,4,4,0.002917070104548136,0.0023173687036907894
355,1.0,4,5,0.0024037478346425594,0.0018485658571777116
356,1.0,4,6,0.0015754941009925615,0.003574990198407101
357,1.0,4,7,0.002025750396113663,0.0027571625642138224
358,1.0,4,8,0.002591484810981555,0.0024942357272071357
359,1.0,4,9,0.0026824117533733277,0.004141094333181553
360,1.0,5,0,0.0038543656409292673,0.0021088046035021932
361,1.0,5,1,0.0029222902233347688,0.003569649190774279
362,1.0,5,2,0.0020449807418985518,0.002403698267408475
